id,name,popularity,duration_ms,explicit,artists,id_artists,release_date,Year,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature
002ak2fuoNB5KW0plsN1jp,Sally,26,213533,0,['Vaya Con Dios'],['0ODWsmNXtn928qhhEn87C8'],10/4/1990,1990,0.731,0.39,9,-12.023,0,0.0286,0.421,2.55E-06,0.0785,0.696,97.397,4
002KIBXwb0pa66mPGuPKMr,When You Don't See Me,33,294249,0,['Sisters of Mercy'],['4HxBVyHaUa60eCSsJWxwWR'],1/3/1990,1990,0.641,0.854,9,-9.109,0,0.0291,0.00171,0.348,0.325,0.871,121.244,4
003PmYxl19KBg6m4uxClbR,Als Je Bij Me Bent,22,217267,0,['Andre Hazes'],['04MtOUkmIDC4LAxDDBjrOY'],1/1/1990,1990,0.47,0.712,5,-5.462,1,0.0317,0.164,0,0.225,0.28,146.181,4
004VesjMxIn4AzXd8c52n1,Babhemu (Friends),5,392507,0,"['Busi Mhlongo', 'Twasa']","['4QlgeNz8Uf8xF0f0LNjCbf', '3rxf0duzYh1ZNfGCKJYQkD']",1/1/1990,1990,0.568,0.62,11,-11.878,0,0.0274,0.58,0.00539,0.0846,0.418,100.897,3
008ndXyCzkkN9fvJsfqkDS,Rumor Has It,37,228973,0,['Reba McEntire'],['02rd0anEWfMtF7iMku9uor'],1/1/1990,1990,0.374,0.335,9,-11.291,1,0.0276,0.368,3.61E-06,0.105,0.268,170.297,4
00af6X7DdZr763wRxEgEjf,Descer?? Sobre Ti,21,261902,0,['Comunidade de Nil??polis'],['05Z2wIBq7FUAveaJVa0SLE'],13/8/1990,1990,0.303,0.489,0,-7.251,1,0.0258,0.208,0,0.1,0.154,101.572,4
00akbmcZrMFuZ15AzIyC5T,Back in Business,27,313360,0,['Madonna'],['6tbjWDEIzxoDsBA1FuhfPW'],22/3/1990,1990,0.559,0.622,5,-9.947,0,0.0936,0.521,7.13E-05,0.0888,0.424,174.651,4
00c6Awukd5y036LZ9EymY7,???????????????????????????????????????????????????,7,237707,0,['Billy Ogan'],['6WYaFJXCm7DgZCsfKvmznS'],30/9/1990,1990,0.518,0.948,7,-4.439,1,0.123,0.0194,0.000104,0.542,0.541,90.559,4
00CLANu2OL9AXTty01EjEM,Liza (Live),9,231787,0,['The Untouchables'],['4PeH0LM0QG4jFfzSmU0SuB'],23/11/1990,1990,0.665,0.541,8,-16.532,1,0.0405,0.581,1.15E-05,0.715,0.755,127.695,4
00CXUMREit80f2McJsjcIz,"Lieder ohne Worte (Songs without Words), Book 2, Op. 30: No. 7 in E-Flat Major, Op. 30, No. 1",54,282813,0,"['Felix Mendelssohn', 'P??ter Nagy']","['6MF58APd3YV72Ln2eVg710', '4Hv8naKkLxWrfxkRMPz5bM']",15/3/1990,1990,0.355,0.0164,3,-28.659,1,0.0396,0.995,0.926,0.0986,0.0922,67.946,4
